GameDate,Home_Abbr,Vis_Abbr,HomeTeamId,VisitorTeamId,Result,Lawler Law,100 Pts,HomeTeamScore,VisitorTeamScore,WinningTeamId,LawlerTeamId,HomeTeamScore_Lawler,VisitorTeamScore_Lawler,LawlerTimeElapsed,Time_Elapsed pct of game
10/28/2003,DAL,LAL,1610612747,1610612742,0,1,1,109,93,1610612747,1610612747,100,84,2545,0.883680556
10/28/2003,PHX,SAS,1610612759,1610612756,2,0,0,83,82,1610612759,0,0,0,0,0
10/28/2003,MIA,PHI,1610612755,1610612748,2,0,0,89,74,1610612755,0,0,0,0,0
10/29/2003,MIL,MIN,1610612750,1610612749,2,0,0,95,89,1610612750,0,0,0,0,0
10/29/2003,IND,DET,1610612765,1610612754,2,0,0,87,89,1610612754,0,0,0,0,0
10/29/2003,ORL,NYK,1610612752,1610612753,2,0,0,83,85,1610612753,0,0,0,0,0
10/29/2003,CLE,SAC,1610612758,1610612739,0,1,1,106,92,1610612758,1610612758,100,92,2684,0.931944444
10/29/2003,WAS,CHI,1610612741,1610612764,2,0,0,74,99,1610612764,0,0,0,0,0
10/29/2003,MIA,BOS,1610612738,1610612748,2,0,0,98,75,1610612738,0,0,0,0,0
10/29/2003,SAS,DEN,1610612743,1610612759,2,0,0,80,72,1610612743,0,0,0,0,0
10/29/2003,POR,UTA,1610612762,1610612757,2,0,0,99,92,1610612762,0,0,0,0,0
10/29/2003,NJN,TOR,1610612761,1610612751,2,0,0,90,87,1610612761,0,0,0,0,0
10/29/2003,DAL,GSW,1610612744,1610612742,2,0,0,87,95,1610612742,0,0,0,0,0
10/29/2003,ATL,NOH,1610612740,1610612737,2,0,0,88,83,1610612740,0,0,0,0,0
10/30/2003,CLE,PHX,1610612756,1610612739,2,0,0,95,86,1610612756,0,0,0,0,0
10/30/2003,DEN,HOU,1610612745,1610612743,0,1,1,102,85,1610612745,1610612745,100,78,2795,0.970486111
10/30/2003,NOH,ORL,1610612753,1610612740,0,1,1,98,100,1610612740,1610612740,98,100,2844,0.9875
10/30/2003,LAC,SEA,1610612760,1610612746,0,1,1,109,100,1610612760,1610612760,100,91,2709,0.940625
10/31/2003,MIL,IND,1610612754,1610612749,2,0,0,79,93,1610612749,0,0,0,0,0
10/31/2003,PHI,SAC,1610612758,1610612755,0,1,1,100,89,1610612758,1610612758,100,89,2862,0.99375
10/31/2003,DET,MIA,1610612748,1610612765,2,0,0,81,93,1610612765,0,0,0,0,0
10/31/2003,ATL,CHI,1610612741,1610612737,0,1,1,100,94,1610612741,1610612741,100,94,2866,0.995138889
10/31/2003,WAS,TOR,1610612761,1610612764,2,0,0,82,79,1610612761,0,0,0,0,0
10/31/2003,MIN,NJN,1610612751,1610612750,2,0,0,84,61,1610612751,0,0,0,0,0
10/31/2003,SEA,LAC,1610612746,1610612760,0,1,1,105,124,1610612760,1610612760,82,100,2296,0.797222222
10/31/2003,BOS,MEM,1610612763,1610612738,2,0,0,91,93,1610612738,0,0,0,0,0
11/1/2003,NYK,SAS,1610612759,1610612752,2,0,0,86,74,1610612759,0,0,0,0,0
11/1/2003,LAL,PHX,1610612756,1610612747,0,1,1,99,103,1610612747,1610612747,97,100,2865,0.994791667
11/1/2003,TOR,MIN,1610612750,1610612761,2,0,0,73,56,1610612750,0,0,0,0,0
11/1/2003,NJN,WAS,1610612764,1610612751,2,0,0,85,98,1610612751,0,0,0,0,0
11/1/2003,IND,ATL,1610612737,1610612754,0,1,1,99,103,1610612754,1610612754,97,100,3158,1.096527778
11/1/2003,MEM,HOU,1610612745,1610612763,2,0,0,71,79,1610612763,0,0,0,0,0
11/1/2003,UTA,DAL,1610612742,1610612762,0,1,1,127,102,1610612742,1610612742,101,78,2236,0.776388889
11/1/2003,SAC,DEN,1610612743,1610612758,0,1,1,109,88,1610612743,1610612743,100,83,2548,0.884722222
